RA,eixo01_saude__dependencia_sus_pct,eixo01_saude__leitos_internacao_regiao_saude_2022,eixo01_saude__producao_ambulatorial_aps_regiao_saude_total_18_22,eixo01_saude__regiao_de_saude,eixo02_seguranca__roubo_pedestre_2016,eixo02_seguranca__roubo_pedestre_2024,eixo02_seguranca__roubo_pedestre_2025,eixo02_seguranca__roubo_pedestre_var_2016_2025,eixo02_seguranca__roubo_pedestre_var_2024_2025,eixo02_seguranca__taxa_feminicidio_100mil_mulheres_2025,eixo02_seguranca__taxa_homicidio_100mil_hab_2025,eixo03_assistencia_social__cras_qtd,eixo03_assistencia_social__creas_qtd,eixo03_assistencia_social__ivs_df_2018,eixo03_assistencia_social__ivs_df_2021,eixo04_emprego_renda__desocupacao_pct,eixo04_emprego_renda__renda_ate2sm_pct,eixo04_emprego_renda__renda_domiciliar_media_2018,eixo04_emprego_renda__sem_carteira_pct,eixo05_habitacao__deficit_habitacional_pct,eixo05_habitacao__sem_regularizacao_pct,eixo06_saneamento__agua_rede_geral_pct,eixo06_saneamento__esgoto_rede_geral_pct,eixo06_saneamento__lixo_coleta_direta_pct,eixo07_infraestrutura_urbana__drenagem_pct,eixo07_infraestrutura_urbana__iluminacao_publica_pct,eixo07_infraestrutura_urbana__pavimentacao_pct,eixo08_mobilidade__onibus_pct,eixo08_mobilidade__tempo_cobertura_pct,eixo08_mobilidade__tempo_medio_min,eixo10_cultura_esporte_lazer__bibliotecas_qtd,eixo10_cultura_esporte_lazer__cops_qtd,eixo10_cultura_esporte_lazer__equipamentos_culturais_secec_qtd_parcial,eixo10_cultura_esporte_lazer__espaco_cultural_percebido_pct,eixo10_cultura_esporte_lazer__quadras_esportivas_percebido_pct,eixo11_meio_ambiente__area_de_risco_maior_atencao,eixo11_meio_ambiente__area_de_risco_monitorada,eixo11_meio_ambiente__drenagem_percebido_pct,eixo11_meio_ambiente__jardins_parques_percebido_pct,eixo11_meio_ambiente__parques_ibram_qtd,eixo11_meio_ambiente__ruas_alagadas_percebido_pct
Plano Piloto,30.8,310,1399902,Central,,,,,,0.85,5.51,,,0.09,0.11,3.1,3.7,15056.92,10.5,5.3,2,99.9,99.9,96.2,97.7,98.3,99.6,11,98.3,15.6,,0,7,71.8,90.9,False,False,97.7,92.2,9,10
Gama,69.1,693,3032571,Sul,2040,471,368,-82%,-22%,0.0,6.41,,,0.29,0.27,11,24.5,3969.79,11.4,10.0,5,97.4,95.8,96.4,83.5,93.4,95.8,35.5,93.9,40.3,,1,0,39.5,72.6,False,False,83.5,62.3,3,30.9
Taguatinga,64.2,566,4792103,Sudoeste,,,,,,1.75,4.74,,,0.29,0.21,8.5,,5623.94,9,13.0,6.2,100,98.4,99.8,84,98.4,98.3,30.8,96.9,29.8,,0,0,35.2,62,False,False,84,59.2,4,26.8
Brazlândia,83.3,616,4193955,Oeste,460,63,63,-86%,0%,4.45,11.4,,,0.4,0.41,21.5,39.9,3308.66,20.4,11.0,27.6,97.3,97.5,98,92.9,96.4,97.3,38,98.5,55.3,,1,0,14,61.6,False,False,92.9,25.1,1,5.8
Sobradinho,62,335,4440203,Norte,853,229,126,,,0.0,2.7,,,0.26,0.23,15.5,23.0,6865.84,22.2,13.0,25.8,90.8,87.8,96.1,75.2,96.1,94.6,31.9,95.3,30.2,,1,0,28.8,58.1,False,False,75.2,54.3,4,14.7
Planaltina,84.2,335,4440203,Norte,2622,536,407,-84%,-24%,3.24,10.61,,,0.48,0.48,17.1,51.4,3267.97,20.9,15.0,52.4,99.4,88.4,95.8,65.3,94.8,94.2,43.7,95.6,43.4,,1,1,16.7,43.4,False,True,65.3,26.6,9,17.3
Paranoá,93.4,219,2869372,Leste,1324,449,316,-76%,-30%,3.29,22.34,,,0.45,0.53,15.4,52.6,2374.5,21.6,14.0,60.8,92.2,91.8,87.1,84.7,92.7,90.7,58.1,92.6,31.2,,0,0,36.4,75.5,False,False,84.7,53.8,3,14.8
Núcleo Bandeirante,68.3,58,2658126,Centro-Sul,227,94,69,-70%,-27%,15.67,0.0,,,0.29,0.21,8.8,14.8,5722.99,7.8,17.0,14.5,99.6,99.1,98,87.6,97.6,98.3,25.8,93.5,23.5,,0,0,67.5,92.1,False,True,87.6,81.4,1,22.2
Ceilândia,85.1,616,4193955,Oeste,6202,2199,2171,-65%,-1%,0.63,9.64,,,0.37,0.39,12.8,36.9,3319.14,16,14.0,11.7,99.6,99.6,99.8,69.5,98.8,99,46.4,91.1,35.7,,2,1,39.5,73.3,False,False,69.5,52.7,5,19.8
Guará,41.3,58,2658126,Centro-Sul,1075,312,225,-79%,-28%,0.0,0.75,,,0.19,0.14,7.2,,9163.51,11.2,9.0,8.2,99.7,98.1,98.6,87.9,98,98.1,13.1,96.7,27.1,,0,0,56.4,77.4,False,False,87.9,74.6,3,10.6
