RA,dependencia_sus_pct,regiao_de_saude,leitos_internacao_regiao_saude_2022,producao_ambulatorial_aps_regiao_saude_total_18_22
Plano Piloto,30.8,Central,310,1399902
Gama,69.1,Sul,693,3032571
Taguatinga,64.2,Sudoeste,566,4792103
Brazlândia,83.3,Oeste,616,4193955
Sobradinho,62,Norte,335,4440203
Planaltina,84.2,Norte,335,4440203
Paranoá,93.4,Leste,219,2869372
Núcleo Bandeirante,68.3,Centro-Sul,58,2658126
Ceilândia,85.1,Oeste,616,4193955
Guará,41.3,Centro-Sul,58,2658126
Cruzeiro,38,Central,310,1399902
Samambaia,80.8,Sudoeste,566,4792103
Santa Maria,80.8,Sul,693,3032571
São Sebastião,92,Leste,219,2869372
Recanto das Emas,83.4,Sudoeste,566,4792103
Lago Sul,8.8,Central,310,1399902
Riacho Fundo,70.1,Centro-Sul,58,2658126
Lago Norte,34,Central,310,1399902
Candangolândia,70.5,Centro-Sul,58,2658126
Águas Claras,17.1,Sudoeste,566,4792103
Riacho Fundo II,81.7,Centro-Sul,58,2658126
Sudoeste/Octogonal,13.8,Central,310,1399902
Varjão,90.5,Central,310,1399902
Park Way,24.2,Centro-Sul,58,2658126
SCIA/Estrutural,95,Centro-Sul,58,2658126
Sobradinho II,82.2,Norte,335,4440203
Jardim Botânico,30.7,Leste,219,2869372
Itapoã,95.6,Leste,219,2869372
SIA,39.9,Centro-Sul,58,2658126
Vicente Pires,50.8,Sudoeste,566,4792103
Fercal,87,Norte,335,4440203
Sol Nascente/Pôr do Sol,94,Oeste,616,4193955
Arniqueira,65,Sudoeste,566,4792103
