RA,taxa_homicidio_100mil_hab_2025,taxa_feminicidio_100mil_mulheres_2025,roubo_pedestre_2016,roubo_pedestre_2024,roubo_pedestre_2025,roubo_pedestre_var_2016_2025,roubo_pedestre_var_2024_2025
Plano Piloto,5.51,0.85,,,,,
Gama,6.41,0.0,2040,471,368,-82%,-22%
Taguatinga,4.74,1.75,,,,,
Brazlândia,11.4,4.45,460,63,63,-86%,0%
Sobradinho,2.7,0.0,853,229,126,,
Planaltina,10.61,3.24,2622,536,407,-84%,-24%
Paranoá,22.34,3.29,1324,449,316,-76%,-30%
Núcleo Bandeirante,0.0,15.67,227,94,69,-70%,-27%
Ceilândia,9.64,0.63,6202,2199,2171,-65%,-1%
Guará,0.75,0.0,1075,312,225,-79%,-28%
Cruzeiro,0.0,6.55,119,25,14,-88%,-44%
Samambaia,5.46,1.6,4954,1122,1023,-79%,-9%
Santa Maria,8.63,0.0,2442,630,550,-77%,-13%
São Sebastião,15.42,3.74,1269,319,328,-74%,3%
Recanto das Emas,8.96,3.13,2666,530,401,-85%,-24%
Lago Sul,0.0,0.0,62,22,7,-89%,-68%
Riacho Fundo,6.98,0.0,438,114,69,-84%,-39%
Lago Norte,2.18,0.0,90,38,19,-79%,-50%
Candangolândia,0.0,0.0,93,25,22,-76%,-12%
Águas Claras,1.35,0.0,544,193,177,-67%,-8%
Riacho Fundo II,1.36,0.0,536,164,128,-76%,-22%
Sudoeste/Octogonal,0.0,0.0,,,,,
Varjão,31.76,0.0,,,,,
Park Way,0.0,8.31,39,11,12,-69%,9%
SCIA/Estrutural,35.13,9.88,611,194,136,-78%,-30%
Sobradinho II,9.55,2.27,,,,,
Jardim Botânico,0.0,0.0,13,19,10,-23%,-47%
Itapoã,15.67,5.56,1360,345,256,-81%,-26%
SIA,,,125,24,35,-72%,46%
Vicente Pires,1.82,0.0,,,,,
Fercal,31.33,20.64,27,11,6,-78%,-45%
Sol Nascente/Pôr do Sol,16.69,3.46,,,,,
Arniqueira,4.26,0.0,,44,23,*,-48%
