RA,ivs_df_2018,ivs_df_2021,cras_qtd,creas_qtd
Plano Piloto,0.09,0.11,,
Gama,0.29,0.27,,
Taguatinga,0.29,0.21,,
Brazlândia,0.4,0.41,,
Sobradinho,0.26,0.23,,
Planaltina,0.48,0.48,,
Paranoá,0.45,0.53,,
Núcleo Bandeirante,0.29,0.21,,
Ceilândia,0.37,0.39,,
Guará,0.19,0.14,,
Cruzeiro,0.08,0.12,,
Samambaia,0.38,0.38,,
Santa Maria,,,,
São Sebastião,0.44,0.54,,
Recanto das Emas,0.4,0.48,,
Lago Sul,0.09,0.07,,
Riacho Fundo,0.26,0.31,,
Lago Norte,0.19,0.15,,
Candangolândia,0.26,0.26,,
Águas Claras,0.08,0.12,,
Riacho Fundo II,0.33,0.3,,
Sudoeste/Octogonal,0.08,0.09,,
Varjão,0.55,0.37,,
Park Way,0.14,0.15,,
SCIA/Estrutural,0.79,0.75,,
Sobradinho II,0.29,0.35,,
Jardim Botânico,0.17,0.17,,
Itapoã,0.58,0.49,,
SIA,0.12,0.14,,
Vicente Pires,0.28,0.27,,
Fercal,0.61,0.6,,
Sol Nascente/Pôr do Sol,0.66,0.71,,
Arniqueira,0.29,0.35,,
