RA,desocupacao_pct,sem_carteira_pct,renda_domiciliar_media_2018,renda_ate2sm_pct
Plano Piloto,3.1,10.5,15056.92,3.7
Gama,11,11.4,3969.79,24.5
Taguatinga,8.5,9,5623.94,
Brazlândia,21.5,20.4,3308.66,39.9
Sobradinho,15.5,22.2,6865.84,23.0
Planaltina,17.1,20.9,3267.97,51.4
Paranoá,15.4,21.6,2374.5,52.6
Núcleo Bandeirante,8.8,7.8,5722.99,14.8
Ceilândia,12.8,16,3319.14,36.9
Guará,7.2,11.2,9163.51,
Cruzeiro,4.1,12.4,8240.97,
Samambaia,14.4,11.3,2502.89,40.9
Santa Maria,12.2,14,2882.58,35.7
São Sebastião,13.5,26.8,2895.69,50.2
Recanto das Emas,17.5,21.7,2454.49,42.0
Lago Sul,1.3,17.5,21398.23,
Riacho Fundo,9.9,16.5,3182.11,32.2
Lago Norte,6.1,16.7,14647.36,
Candangolândia,9.1,8.4,3854.58,
Águas Claras,4,5.9,11994.87,
Riacho Fundo II,13.6,17.9,2360.3,32.1
Sudoeste/Octogonal,(***),12.1,15654.6,
Varjão,14.6,30.4,2285.96,48.1
Park Way,1.8,7.6,18155.64,
SCIA/Estrutural,13.4,29.2,1741.97,64.2
Sobradinho II,13.8,26.6,5832.0,37.3
Jardim Botânico,4.7,13.7,10769.1,4.7
Itapoã,15.7,20.8,2909.85,54.5
SIA,(***),(***),7883.54,
Vicente Pires,5.9,11,7867.44,
Fercal,14.6,13.5,2594.48,60.5
Sol Nascente/Pôr do Sol,13,11.4,2268.32,60.8
Arniqueira,8.7,19.2,5559.37,29.1
