RA,deficit_habitacional_pct,sem_regularizacao_pct
Plano Piloto,5.3,2
Gama,10.0,5
Taguatinga,13.0,6.2
Brazlândia,11.0,27.6
Sobradinho,13.0,25.8
Planaltina,15.0,52.4
Paranoá,14.0,60.8
Núcleo Bandeirante,17.0,14.5
Ceilândia,14.0,11.7
Guará,9.0,8.2
Cruzeiro,5.0,6.4
Samambaia,12.0,17.4
Santa Maria,14.0,26.9
São Sebastião,19.0,70.3
Recanto das Emas,14.0,17.2
Lago Sul,2.0,5.4
Riacho Fundo,15.0,25.5
Lago Norte,10.0,7.7
Candangolândia,11.0,15.4
Águas Claras,3.0,2.8
Riacho Fundo II,13.0,40.7
Sudoeste/Octogonal,5.0,3.4
Varjão,28.0,16.6
Park Way,2.0,2.6
SCIA/Estrutural,34.0,68.9
Sobradinho II,19.0,59.8
Jardim Botânico,11.4,43.9
Itapoã,14.0,48.5
SIA,24.0,36.4
Vicente Pires,8.0,57.4
Fercal,6.0,81.9
Sol Nascente/Pôr do Sol,9.0,91.5
Arniqueira,14.0,68.5
