RA,agua_rede_geral_pct,esgoto_rede_geral_pct,lixo_coleta_direta_pct
Plano Piloto,99.9,99.9,96.2
Gama,97.4,95.8,96.4
Taguatinga,100,98.4,99.8
Brazlândia,97.3,97.5,98
Sobradinho,90.8,87.8,96.1
Planaltina,99.4,88.4,95.8
Paranoá,92.2,91.8,87.1
Núcleo Bandeirante,99.6,99.1,98
Ceilândia,99.6,99.6,99.8
Guará,99.7,98.1,98.6
Cruzeiro,100,100,89.9
Samambaia,100,99.6,98.7
Santa Maria,99.7,98.5,98.8
São Sebastião,73,69.8,79.7
Recanto das Emas,99.8,98.2,94
Lago Sul,99,93.3,98.6
Riacho Fundo,99.8,93.6,97.8
Lago Norte,94.9,92.3,94.9
Candangolândia,100,99.4,99.4
Águas Claras,99.9,99.9,98.6
Riacho Fundo II,98.9,96.5,88.9
Sudoeste/Octogonal,100,100,97.3
Varjão,99.8,99.6,98.3
Park Way,98.3,53.8,90.8
SCIA/Estrutural,79.3,77.5,81.3
Sobradinho II,93,87.7,96.3
Jardim Botânico,88.7,60.9,97.3
Itapoã,99.4,98.9,99.6
SIA,100,99.7,99.3
Vicente Pires,88.3,84.8,60.9
Fercal,61.4,20,83.6
Sol Nascente/Pôr do Sol,95.4,71.6,93.5
Arniqueira,98,56.7,70.7
