RA,pavimentacao_pct,iluminacao_publica_pct,drenagem_pct
Plano Piloto,99.6,98.3,97.7
Gama,95.8,93.4,83.5
Taguatinga,98.3,98.4,84
Brazlândia,97.3,96.4,92.9
Sobradinho,94.6,96.1,75.2
Planaltina,94.2,94.8,65.3
Paranoá,90.7,92.7,84.7
Núcleo Bandeirante,98.3,97.6,87.6
Ceilândia,99,98.8,69.5
Guará,98.1,98,87.9
Cruzeiro,98.8,99.4,94.2
Samambaia,99.7,94.3,73.1
Santa Maria,98,97.5,69.4
São Sebastião,70,73,42.5
Recanto das Emas,97.7,92.3,79
Lago Sul,99.8,99.5,94.2
Riacho Fundo,95.7,94.6,71.6
Lago Norte,91.4,98.2,83.4
Candangolândia,99,99,64.9
Águas Claras,99.6,99.3,98.6
Riacho Fundo II,98.7,96.5,83.9
Sudoeste/Octogonal,99.7,98.4,97
Varjão,99.8,97.7,68
Park Way,99.5,99.4,74.3
SCIA/Estrutural,72.6,78.1,32.3
Sobradinho II,95.7,99.7,61.4
Jardim Botânico,92.6,97.2,89
Itapoã,97.4,97.6,58.7
SIA,91.9,94.1,80.4
Vicente Pires,84.3,90.9,75.7
Fercal,67.9,89.9,9.2
Sol Nascente/Pôr do Sol,56.4,93.4,38.1
Arniqueira,97.8,97.8,68.8
