RA,onibus_pct,tempo_medio_min,tempo_cobertura_pct
Plano Piloto,11,15.6,98.3
Gama,35.5,40.3,93.9
Taguatinga,30.8,29.8,96.9
Brazlândia,38,55.3,98.5
Sobradinho,31.9,30.2,95.3
Planaltina,43.7,43.4,95.6
Paranoá,58.1,31.2,92.6
Núcleo Bandeirante,25.8,23.5,93.5
Ceilândia,46.4,35.7,91.1
Guará,13.1,27.1,96.7
Cruzeiro,19.6,18.4,92.9
Samambaia,40.7,34.3,89.9
Santa Maria,46,35.6,93.4
São Sebastião,53.1,36.8,92.0
Recanto das Emas,47.3,34.1,91.9
Lago Sul,(***),20.4,98.3
Riacho Fundo,33.1,22.0,92.0
Lago Norte,5.9,23.4,93.6
Candangolândia,27.8,26.2,96.6
Águas Claras,5.4,27.1,97.0
Riacho Fundo II,50.1,34.8,92.4
Sudoeste/Octogonal,4.5,18.5,98.6
Varjão,44.6,24.9,92.8
Park Way,4,25.8,97.5
SCIA/Estrutural,44.6,26.3,93.6
Sobradinho II,40,33.9,92.0
Jardim Botânico,12.8,30.1,96.5
Itapoã,46.7,31.7,85.8
SIA,12.5,17.9,89.3
Vicente Pires,18.6,28.5,96.2
Fercal,44.5,31.1,89.3
Sol Nascente/Pôr do Sol,62.8,41.1,98.3
Arniqueira,27.7,24.4,95.9
