RA,quadras_esportivas_percebido_pct,espaco_cultural_percebido_pct,cops_qtd,equipamentos_culturais_secec_qtd_parcial,bibliotecas_qtd
Plano Piloto,90.9,71.8,0,7,
Gama,72.6,39.5,1,0,
Taguatinga,62,35.2,0,0,
Brazlândia,61.6,14,1,0,
Sobradinho,58.1,28.8,1,0,
Planaltina,43.4,16.7,1,1,
Paranoá,75.5,36.4,0,0,
Núcleo Bandeirante,92.1,67.5,0,0,
Ceilândia,73.3,39.5,2,1,
Guará,77.4,56.4,0,0,
Cruzeiro,91.7,67.7,0,0,
Samambaia,57.3,32.8,1,0,
Santa Maria,65.1,37.6,1,0,
São Sebastião,48.7,17.4,1,0,
Recanto das Emas,77.8,23.8,1,0,
Lago Sul,65.8,59.8,0,0,
Riacho Fundo,81.7,37.2,1,0,
Lago Norte,47.4,33.1,0,0,
Candangolândia,88.4,75.7,0,0,
Águas Claras,85.1,77.1,0,0,
Riacho Fundo II,69.5,30.7,0,0,
Sudoeste/Octogonal,95.5,80.7,0,0,
Varjão,79.1,43.1,0,0,
Park Way,52.4,43,0,0,
SCIA/Estrutural,57.9,25.3,1,0,
Sobradinho II,36.3,12.1,0,0,
Jardim Botânico,75.5,51.7,0,0,
Itapoã,31.7,7.8,0,0,
SIA,56.1,40,0,0,
Vicente Pires,42.3,30.3,0,0,
Fercal,41,6.3,0,0,
Sol Nascente/Pôr do Sol,15.8,4.3,0,0,
Arniqueira,50.2,29.6,0,0,
