RA,jardins_parques_percebido_pct,drenagem_percebido_pct,ruas_alagadas_percebido_pct,parques_ibram_qtd,area_de_risco_monitorada,area_de_risco_maior_atencao
Plano Piloto,92.2,97.7,10,9,False,False
Gama,62.3,83.5,30.9,3,False,False
Taguatinga,59.2,84,26.8,4,False,False
Brazlândia,25.1,92.9,5.8,1,False,False
Sobradinho,54.3,75.2,14.7,4,False,False
Planaltina,26.6,65.3,17.3,9,True,False
Paranoá,53.8,84.7,14.8,3,False,False
Núcleo Bandeirante,81.4,87.6,22.2,1,True,False
Ceilândia,52.7,69.5,19.8,5,False,False
Guará,74.6,87.9,10.6,3,False,False
Cruzeiro,91.5,94.2,7.3,0,False,False
Samambaia,47.5,73.1,11.4,2,False,False
Santa Maria,54.3,69.4,18.5,1,False,False
São Sebastião,37.1,42.5,36.7,1,False,False
Recanto das Emas,30.4,79,11.9,1,False,False
Lago Sul,79.9,94.2,5,9,False,False
Riacho Fundo,80.6,71.6,20.5,1,True,False
Lago Norte,54.8,83.4,14.7,2,False,False
Candangolândia,71.6,64.9,12,1,False,False
Águas Claras,88,98.6,7.5,2,False,False
Riacho Fundo II,59.5,83.9,7,0,False,False
Sudoeste/Octogonal,99,97,(***),2,False,False
Varjão,52.4,68,31.7,0,False,False
Park Way,80.8,74.3,4.9,3,False,False
SCIA/Estrutural,26,32.3,53.8,1,False,False
Sobradinho II,21.2,61.4,22.8,0,True,True
Jardim Botânico,79.2,89,12.2,2,False,False
Itapoã,12,58.7,23.1,1,False,False
SIA,54.1,80.4,25,0,False,False
Vicente Pires,47.7,75.7,30.5,1,True,True
Fercal,13,9.2,41.9,0,True,True
Sol Nascente/Pôr do Sol,7.5,38.1,44.5,0,True,True
Arniqueira,51.4,68.8,22.7,0,True,True
